function_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles,MLOC,PAR,DOC,fileName,lineno
ansible.cli.__init__.CLI.post_process_args,388,6,5,1,5,0,0,59.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\__init__.py,388.0
ansible.cli.__init__.CLI.run,148,7,7,0,7,0,0,35.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\__init__.py,148.0
ansible.cli.__init__.CLI.setup_vault_secrets,221,12,10,2,10,0,0,100.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\__init__.py,221.0
ansible.cli.__init__.CLI.split_vault_id,185,2,1,1,1,0,0,9.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\__init__.py,185.0
ansible.cli.__init__.CLI.validate_conflicts,361,5,0,5,0,0,0,8.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\__init__.py,361.0
ansible.cli.__init__.CLI.version_info,473,4,3,1,3,0,0,24.0,0.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\__init__.py,473.0
ansible.cli.__init__.check_blocking_io,21,3,2,1,2,0,0,17.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\__init__.py,21.0
ansible.cli.__init__.initialize_locale,43,2,1,1,1,0,0,18.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\__init__.py,43.0
ansible.cli.adhoc.AdHocCLI._play_ds,72,6,5,1,5,0,0,27.0,4.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\adhoc.py,72.0
ansible.cli.adhoc.AdHocCLI.init_parser,33,1,1,0,1,0,0,28.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\adhoc.py,33.0
ansible.cli.adhoc.AdHocCLI.post_process_args,62,1,1,0,1,0,0,9.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\adhoc.py,62.0
ansible.cli.adhoc.AdHocCLI.run,100,16,15,1,15,1,1,99.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\adhoc.py,100.0
ansible.cli.adhoc.main,201,2,1,1,1,0,0,2.0,0.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\adhoc.py,201.0
ansible.cli.arguments.option_helpers.AnsibleVersion.__call__,44,1,1,0,1,0,0,4.0,4.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,44.0
ansible.cli.arguments.option_helpers.ArgumentParser.add_argument,34,46,2,44,2,1,1,7.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,34.0
ansible.cli.arguments.option_helpers.PrependListAction.__call__,84,1,1,0,1,0,0,4.0,4.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,84.0
ansible.cli.arguments.option_helpers.SortingHelpFormatter.add_arguments,28,2,1,1,1,1,1,3.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,28.0
ansible.cli.arguments.option_helpers._git_repo_info,121,6,5,1,5,0,0,41.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,121.0
ansible.cli.arguments.option_helpers._gitinfo,164,2,1,1,1,0,0,4.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,164.0
ansible.cli.arguments.option_helpers.add_async_options,227,1,1,0,1,0,0,6.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,227.0
ansible.cli.arguments.option_helpers.add_basedir_options,235,2,2,0,2,0,0,6.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,235.0
ansible.cli.arguments.option_helpers.add_check_options,243,1,1,0,1,0,0,7.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,243.0
ansible.cli.arguments.option_helpers.add_connect_options,252,2,2,0,2,0,0,32.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,252.0
ansible.cli.arguments.option_helpers.add_fork_options,286,1,1,0,1,0,0,4.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,286.0
ansible.cli.arguments.option_helpers.add_inventory_options,292,1,1,0,1,0,0,8.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,292.0
ansible.cli.arguments.option_helpers.add_meta_options,302,1,1,0,1,0,0,6.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,302.0
ansible.cli.arguments.option_helpers.add_module_options,310,2,2,0,2,0,0,6.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,310.0
ansible.cli.arguments.option_helpers.add_output_options,318,1,1,0,1,0,0,6.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,318.0
ansible.cli.arguments.option_helpers.add_runas_options,326,2,2,0,2,0,0,21.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,326.0
ansible.cli.arguments.option_helpers.add_runas_prompt_options,349,3,2,1,2,0,0,19.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,349.0
ansible.cli.arguments.option_helpers.add_runtask_options,370,2,2,0,2,0,0,4.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,370.0
ansible.cli.arguments.option_helpers.add_subset_options,382,1,1,0,1,0,0,6.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,382.0
ansible.cli.arguments.option_helpers.add_tasknoplay_options,376,1,1,0,1,0,0,4.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,376.0
ansible.cli.arguments.option_helpers.add_vault_options,390,2,2,0,2,0,0,9.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,390.0
ansible.cli.arguments.option_helpers.add_verbosity_options,219,2,1,1,1,0,0,6.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,219.0
ansible.cli.arguments.option_helpers.create_base_parser,199,2,2,0,2,0,0,18.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,199.0
ansible.cli.arguments.option_helpers.ensure_value,90,1,0,1,0,0,0,4.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,90.0
ansible.cli.arguments.option_helpers.maybe_unfrack_path,112,3,2,1,2,0,0,7.0,1.0,2.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,112.0
ansible.cli.arguments.option_helpers.unfrack_path,99,7,2,5,2,0,0,11.0,0.0,2.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,99.0
ansible.cli.arguments.option_helpers.version,170,5,4,1,4,0,0,23.0,0.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\arguments\option_helpers.py,170.0
ansible.cli.config.ConfigCLI._get_global_configs,478,4,3,1,3,0,0,7.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,478.0
ansible.cli.config.ConfigCLI._get_plugin_configs,486,10,9,1,9,0,0,69.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,486.0
ansible.cli.config.ConfigCLI._get_settings_ini,353,8,6,2,6,1,1,53.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,353.0
ansible.cli.config.ConfigCLI._get_settings_vars,296,9,8,1,8,0,0,56.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,296.0
ansible.cli.config.ConfigCLI._list_entries_from_args,261,6,3,3,3,0,0,21.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,261.0
ansible.cli.config.ConfigCLI._list_plugin_settings,231,6,5,1,5,0,0,29.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,231.0
ansible.cli.config.ConfigCLI._render_settings,444,6,4,2,4,0,0,33.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,444.0
ansible.cli.config.ConfigCLI.execute_dump,556,10,10,0,10,0,0,35.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,556.0
ansible.cli.config.ConfigCLI.execute_edit,217,3,3,0,3,0,0,13.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,217.0
ansible.cli.config.ConfigCLI.execute_init,407,9,9,0,9,0,0,36.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,407.0
ansible.cli.config.ConfigCLI.execute_list,283,5,5,0,5,0,0,12.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,283.0
ansible.cli.config.ConfigCLI.execute_update,183,2,2,0,2,0,0,23.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,183.0
ansible.cli.config.ConfigCLI.execute_validate,592,9,9,0,9,0,0,57.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,592.0
ansible.cli.config.ConfigCLI.execute_view,207,4,4,0,4,0,0,9.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,207.0
ansible.cli.config.ConfigCLI.init_parser,95,1,1,0,1,0,0,46.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,95.0
ansible.cli.config.ConfigCLI.run,148,5,5,0,5,0,0,34.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,148.0
ansible.cli.config._ansible_env_vars,53,2,1,1,1,0,0,9.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,53.0
ansible.cli.config._get_evar_list,64,2,1,1,1,0,0,7.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,64.0
ansible.cli.config._get_ini_entries,73,2,1,1,1,0,0,9.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,73.0
ansible.cli.config.get_constants,46,6,1,5,1,0,0,5.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,46.0
ansible.cli.config.main,651,2,1,1,1,0,0,2.0,0.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,651.0
ansible.cli.config.yaml_dump,38,12,0,12,0,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,38.0
ansible.cli.config.yaml_short,42,2,1,1,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\config.py,42.0
ansible.cli.console.ConsoleCLI.__getattr__,581,4,4,0,4,0,0,19.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,581.0
ansible.cli.console.ConsoleCLI.cmdloop,133,5,3,2,3,1,1,10.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,133.0
ansible.cli.console.ConsoleCLI.complete_cd,497,3,3,0,3,0,0,10.0,5.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,497.0
ansible.cli.console.ConsoleCLI.completedefault,508,4,4,0,4,0,0,7.0,5.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,508.0
ansible.cli.console.ConsoleCLI.default,159,15,12,3,12,0,2,87.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,159.0
ansible.cli.console.ConsoleCLI.do_become,376,4,4,0,4,0,0,8.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,376.0
ansible.cli.console.ConsoleCLI.do_become_method,411,2,2,0,2,0,0,8.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,411.0
ansible.cli.console.ConsoleCLI.do_become_user,399,3,3,0,3,0,0,8.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,399.0
ansible.cli.console.ConsoleCLI.do_cd,334,2,2,0,2,0,0,19.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,334.0
ansible.cli.console.ConsoleCLI.do_check,423,3,3,0,3,0,0,8.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,423.0
ansible.cli.console.ConsoleCLI.do_collections,295,6,6,0,6,0,0,17.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,295.0
ansible.cli.console.ConsoleCLI.do_diff,435,3,3,0,3,0,0,8.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,435.0
ansible.cli.console.ConsoleCLI.do_exit,468,1,0,1,0,0,0,4.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,468.0
ansible.cli.console.ConsoleCLI.do_forks,267,4,4,0,4,0,0,17.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,267.0
ansible.cli.console.ConsoleCLI.do_list,361,3,3,0,3,0,0,11.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,361.0
ansible.cli.console.ConsoleCLI.do_remote_user,388,2,2,0,2,0,0,7.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,388.0
ansible.cli.console.ConsoleCLI.do_shell,250,1,1,0,1,0,0,13.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,250.0
ansible.cli.console.ConsoleCLI.do_timeout,447,3,3,0,3,0,0,13.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,447.0
ansible.cli.console.ConsoleCLI.do_verbosity,320,4,4,0,4,0,0,10.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,320.0
ansible.cli.console.ConsoleCLI.help_become,385,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,385.0
ansible.cli.console.ConsoleCLI.help_become_method,420,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,420.0
ansible.cli.console.ConsoleCLI.help_become_user,408,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,408.0
ansible.cli.console.ConsoleCLI.help_cd,354,2,2,0,2,0,0,3.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,354.0
ansible.cli.console.ConsoleCLI.help_check,432,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,432.0
ansible.cli.console.ConsoleCLI.help_collections,313,2,2,0,2,0,0,3.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,313.0
ansible.cli.console.ConsoleCLI.help_diff,444,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,444.0
ansible.cli.console.ConsoleCLI.help_exit,473,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,473.0
ansible.cli.console.ConsoleCLI.help_forks,285,2,2,0,2,0,0,3.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,285.0
ansible.cli.console.ConsoleCLI.help_help,494,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,494.0
ansible.cli.console.ConsoleCLI.help_list,373,2,1,1,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,373.0
ansible.cli.console.ConsoleCLI.help_remote_user,396,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,396.0
ansible.cli.console.ConsoleCLI.help_shell,264,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,264.0
ansible.cli.console.ConsoleCLI.help_timeout,461,2,2,0,2,0,0,3.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,461.0
ansible.cli.console.ConsoleCLI.help_verbosity,331,1,1,0,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,331.0
ansible.cli.console.ConsoleCLI.helpdefault,479,5,3,2,3,0,0,14.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,479.0
ansible.cli.console.ConsoleCLI.init_parser,103,1,1,0,1,0,0,20.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,103.0
ansible.cli.console.ConsoleCLI.list_modules,156,3,1,2,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,156.0
ansible.cli.console.ConsoleCLI.module_args,516,1,0,1,0,0,0,4.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,516.0
ansible.cli.console.ConsoleCLI.post_process_args,124,1,1,0,1,0,0,5.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,124.0
ansible.cli.console.ConsoleCLI.run,521,10,9,1,9,0,2,59.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,521.0
ansible.cli.console.ConsoleCLI.set_prompt,144,8,2,6,2,0,0,11.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,144.0
ansible.cli.console.ConsoleCLI.usage_cd,358,2,1,1,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,358.0
ansible.cli.console.ConsoleCLI.usage_collections,317,3,1,2,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,317.0
ansible.cli.console.ConsoleCLI.usage_forks,289,3,1,2,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,289.0
ansible.cli.console.ConsoleCLI.usage_timeout,465,3,1,2,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,465.0
ansible.cli.console.main,602,2,1,1,1,0,0,2.0,0.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\console.py,602.0
ansible.cli.doc.DocCLI._combine_plugin_doc,1035,1,0,1,0,0,0,11.0,6.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1035.0
ansible.cli.doc.DocCLI._display_available_roles,644,6,5,1,5,0,0,33.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,644.0
ansible.cli.doc.DocCLI._display_role_doc,678,5,4,1,4,0,0,15.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,678.0
ansible.cli.doc.DocCLI._dump_yaml,1142,6,2,4,2,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1142.0
ansible.cli.doc.DocCLI._format_version_added,1150,2,0,2,0,0,0,9.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1150.0
ansible.cli.doc.DocCLI._get_collection_filter,766,4,2,2,2,0,0,10.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,766.0
ansible.cli.doc.DocCLI._get_keywords_docs,699,9,8,1,8,0,0,66.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,699.0
ansible.cli.doc.DocCLI._get_plugin_list_descriptions,1090,5,4,1,4,0,0,38.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1090.0
ansible.cli.doc.DocCLI._get_plugins_docs,797,8,7,1,7,0,0,42.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,797.0
ansible.cli.doc.DocCLI._get_roles_path,840,2,0,2,0,0,0,16.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,840.0
ansible.cli.doc.DocCLI._indent_lines,1146,6,3,3,3,0,0,2.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1146.0
ansible.cli.doc.DocCLI._list_keywords,695,3,1,2,1,0,0,2.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,695.0
ansible.cli.doc.DocCLI._list_plugins,777,5,4,1,4,0,0,19.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,777.0
ansible.cli.doc.DocCLI._prep_loader,858,3,1,2,1,0,0,17.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,858.0
ansible.cli.doc.DocCLI._tty_ify_sem_complex,474,3,3,0,3,0,0,27.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,474.0
ansible.cli.doc.DocCLI.add_fields,1170,16,13,3,13,1,1,99.0,4.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1170.0
ansible.cli.doc.DocCLI.display_plugin_list,597,8,7,1,7,0,0,46.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,597.0
ansible.cli.doc.DocCLI.format_plugin_doc,1068,4,3,1,3,0,0,21.0,6.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1068.0
ansible.cli.doc.DocCLI.format_snippet,1048,6,5,1,5,0,0,18.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1048.0
ansible.cli.doc.DocCLI.get_all_plugins_of_type,985,2,2,0,2,0,0,7.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,985.0
ansible.cli.doc.DocCLI.get_man_text,1356,18,17,1,17,0,0,153.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1356.0
ansible.cli.doc.DocCLI.get_plugin_metadata,994,6,6,0,6,0,0,26.0,2.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,994.0
ansible.cli.doc.DocCLI.get_role_man_text,1270,14,13,1,13,0,0,84.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1270.0
ansible.cli.doc.DocCLI.init_parser,536,3,3,0,3,0,0,53.0,1.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,536.0
ansible.cli.doc.DocCLI.namespace_from_plugin_filepath,1022,5,4,1,4,0,0,11.0,3.0,0.0,D:\BaiduNetdiskDownload\graduation_project\project_folder\ansible\cli\doc.py,1022.0
