Kind,understandname,file,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,smell
Function,"ansible.playbook.PlayBook._get_playbook_vars(self,play_ds,existing_vars)",D:\thesis2\9 project\ansible\ansible\lib\ansible\playbook\__init__.py,13.0,0.0,9.0,3.0,8.0,4.0,5.0,1.0,8.0,3.0,7.0,5.0,5.0,5.0,1.0,3.0,0.44,3,3,188,3,no
Function,"ansible.runner.action_plugins.win_copy.ActionModule._remove_tempfile_if_content_defined(self,content,content_tempfile)",D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\action_plugins\win_copy.py,3.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,3,3,367,3,no
Function,"ansible.runner.connection_plugins.paramiko_ssh.Connection.put_file(self,in_path,out_path)",D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\connection_plugins\paramiko_ssh.py,17.0,4.0,12.0,2.0,11.0,1.0,8.0,1.0,12.0,1.0,11.0,4.0,4.0,4.0,4.0,1.0,0.08,3,3,279,3,no
Function,"ansible.runner.lookup_plugins.env.LookupModule.run(self,terms,inject,kwargs)",D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\env.py,15.0,3.0,12.0,5.0,11.0,0.0,8.0,1.0,12.0,4.0,11.0,4.0,4.0,4.0,1.0,1.0,0.0,4,3,27,3,no
Function,"ansible.utils.plugins.PluginLoader.get(self,name,args,kwargs)",D:\thesis2\9 project\ansible\ansible\lib\ansible\utils\plugins.py,11.0,1.0,9.0,2.0,8.0,1.0,6.0,1.0,9.0,2.0,8.0,4.0,4.0,4.0,1.0,1.0,0.11,4,2,209,4,no
Function,"hipchat.CallbackModule.runner_on_unreachable(self,host,res)",D:\thesis2\9 project\ansible\ansible\plugins\callbacks\hipchat.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,97,3,no
Function,"osx_say.CallbackModule.playbook_on_task_start(self,name,is_conditional)",D:\thesis2\9 project\ansible\ansible\plugins\callbacks\osx_say.py,5.0,0.0,5.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,3,3,82,3,no
Function,"digital_ocean.DigitalOceanInventory.build_index(self,source_seq,key_from,key_to,use_slug)",D:\thesis2\9 project\ansible\ansible\plugins\inventory\digital_ocean.py,7.0,0.0,7.0,5.0,6.0,0.0,2.0,0.0,7.0,5.0,6.0,2.0,2.0,5.0,1.0,1.0,0.0,5,5,329,4,no
Function,"TestModuleUtilsDatabase.TestQuotePgIdentifier.check_valid_quotes(self,identifier,quoted_identifier)",D:\thesis2\9 project\ansible\ansible\test\units\TestModuleUtilsDatabase.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,90,3,no
Function,"ansible.module_utils.basic.AnsibleModule.set_mode_if_different(self,path,mode,changed)",D:\thesis2\9 project\ansible\ansible\v2\ansible\module_utils\basic.py,46.0,6.0,38.0,5.0,37.0,4.0,57.0,2.0,33.0,4.0,32.0,13.0,13.0,14.0,8.0,3.0,0.11,4,4,633,4,no
Function,"ansible.module_utils.rax.rax_find_network(module,rax_module,network)",D:\thesis2\9 project\ansible\ansible\v2\ansible\module_utils\rax.py,20.0,0.0,20.0,3.0,19.0,0.0,5.0,1.0,16.0,3.0,15.0,5.0,5.0,5.0,5.0,3.0,0.0,3,3,131,3,no
Function,"ansible.playbook.conditional.Conditional._validate_when(self,attr,name,value)",D:\thesis2\9 project\ansible\ansible\v2\ansible\playbook\conditional.py,3.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,4,4,46,4,no
Function,"ansible.plugins.cache.memcached.ProxyClientPool.__init__(self,args,kwargs)",D:\thesis2\9 project\ansible\ansible\v2\ansible\plugins\cache\memcached.py,5.0,0.0,5.0,4.0,4.0,0.0,1.0,0.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1,43,3,no
Function,"ansible.plugins.callback.minimal.CallbackModule.runner_on_async_failed(self,host,res,jid)",D:\thesis2\9 project\ansible\ansible\v2\ansible\plugins\callback\minimal.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,70,4,no
Function,"ansible.plugins.connections.jail.Connection._normalize_path(self,path,prefix)",D:\thesis2\9 project\ansible\ansible\v2\ansible\plugins\connections\jail.py,5.0,0.0,5.0,2.0,4.0,0.0,2.0,0.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,3,3,115,3,no
Function,"ansible.plugins.lookup.dict.LookupModule.run(self,terms,varibles,kwargs)",D:\thesis2\9 project\ansible\ansible\v2\ansible\plugins\lookup\dict.py,6.0,2.0,4.0,1.0,3.0,0.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,4,3,22,3,no
Function,"ansible.plugins.strategies.free.StrategyModule.run(self,iterator,connection_info)",D:\thesis2\9 project\ansible\ansible\v2\ansible\plugins\strategies\free.py,82.0,16.0,31.0,8.0,30.0,38.0,58.0,2.0,31.0,8.0,30.0,10.0,10.0,13.0,6.0,5.0,1.23,3,3,28,3,no
Function,"boto.auth.HmacAuthV1Handler.add_auth(self,http_request,kwargs)",D:\thesis2\9 project\boto\boto\boto\auth.py,19.0,1.0,18.0,9.0,17.0,0.0,4.0,1.0,16.0,9.0,15.0,3.0,3.0,3.0,1.0,1.0,0.0,3,2,141,3,no
Function,"boto.connection.AWSAuthConnection.get_http_connection(self,host,port,is_secure)",D:\thesis2\9 project\boto\boto\boto\connection.py,6.0,0.0,6.0,2.0,5.0,0.0,2.0,0.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,4,4,700,4,no
Function,"boto.exception._EC2Error.endElement(self,name,value,connection)",D:\thesis2\9 project\boto\boto\boto\exception.py,7.0,0.0,7.0,1.0,6.0,0.0,3.0,0.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,4,4,410,4,no
Function,"boto.storage_uri.FileStorageUri.__init__(self,object_name,debug,is_stream)",D:\thesis2\9 project\boto\boto\boto\storage_uri.py,19.0,3.0,7.0,7.0,6.0,9.0,1.0,0.0,7.0,7.0,6.0,1.0,1.0,1.0,1.0,0.0,1.29,4,4,812,3,no
Function,"boto.cloudformation.stack.Output.startElement(self,name,attrs,connection)",D:\thesis2\9 project\boto\boto\boto\cloudformation\stack.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,206,4,yes
Function,"boto.cloudfront.identity.OriginAccessIdentityConfig.endElement(self,name,value,connection)",D:\thesis2\9 project\boto\boto\boto\cloudfront\identity.py,7.0,0.0,7.0,1.0,6.0,0.0,3.0,0.0,5.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,0.0,4,4,88,4,yes
Function,"boto.cloudfront.CloudFrontConnection.set_streaming_distribution_config(self,distribution_id,etag,config)",D:\thesis2\9 project\boto\boto\boto\cloudfront\__init__.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,192,4,no
Function,"boto.cloudsearch.optionstatus.ServicePoliciesStatus._allow_ip(self,arn,ip)",D:\thesis2\9 project\boto\boto\boto\cloudsearch\optionstatus.py,20.0,1.0,19.0,6.0,18.0,0.0,13.0,1.0,18.0,6.0,17.0,8.0,8.0,8.0,1.0,6.0,0.0,3,3,166,3,no
Function,"boto.cloudsearchdomain.layer1.CloudSearchDomainConnection.make_request(self,verb,resource,headers,data,expected_status,params)",D:\thesis2\9 project\boto\boto\boto\cloudsearchdomain\layer1.py,11.0,0.0,11.0,4.0,9.0,0.0,4.0,1.0,8.0,3.0,7.0,3.0,3.0,3.0,1.0,1.0,0.0,7,7,530,3,no
Function,"boto.configservice.layer1.ConfigServiceConnection.make_request(self,action,body)",D:\thesis2\9 project\boto\boto\boto\configservice\layer1.py,23.0,0.0,23.0,8.0,22.0,0.0,3.0,0.0,13.0,8.0,12.0,3.0,3.0,3.0,3.0,2.0,0.0,3,3,362,3,no
